id,hist_id,media_name,media_section
2971,295,ČT 1,Téma Dobrého rána 6:20
2971,295,ČT 1,Téma Dobrého rána 6:55
2971,295,ČT 1,Téma Dobrého rána 7:25
2971,295,ČT 1,Téma Dobrého rána 7:40
2971,295,ČT 1,Téma Dobrého rána 7:55
2971,295,ČT 1,Téma Dobrého rána 8:10
2971,295,ČT 1,"Trh, obchod, finance"
2971,295,ČT 1,"Trh, obchod, finance 7:36"
2971,295,ČT 1,Týden v regionech - JM
2971,295,ČT 1,Týden v regionech - OS
2971,295,ČT 1,Události
2971,295,ČT 1,Události dne
2971,295,ČT 1,Události dne - rozhovor
2971,295,ČT 1,Události dne - rozhovor - Brno
2971,295,ČT 1,Události dne - rozhovor - Ostrava
2971,295,ČT 1,Události plus
2971,295,ČT 1,Události týdne
2971,295,ČT 1,Události v kultuře
2971,295,ČT 1,Události v regionech - Brno
2971,295,ČT 1,Události v regionech - Ostrava
2971,295,ČT 1,Události v regionech - Praha
2971,295,ČT 1,"Události, komentáře"
2971,295,ČT 1,Váš host 6:20
2971,295,ČT 1,Váš host 6:55
2971,295,ČT 1,Váš host 7:25
2971,295,ČT 1,Váš host 7:40
2971,295,ČT 1,Váš host 7:55
2971,295,ČT 1,Váš host 8:10
2971,295,ČT 1,Večerník z Čech
2971,295,ČT 1,Večerníky plus - Čechy
2971,295,ČT 1,Večerníky plus - JM
2971,295,ČT 1,Věda
2971,295,ČT 1,Volný čas
2971,295,ČT 1,Vstávání s
2971,295,ČT 1,Z metropole
2971,295,ČT 1,Za volantem
2971,295,ČT 1,Zdraví
2971,295,ČT 1,Země světa
2971,295,ČT 1,Zprávy - Brno 06:00
2971,295,ČT 1,Zprávy - Brno 06:30
2971,295,ČT 1,Zprávy - Brno 07:00
2971,295,ČT 1,Zprávy - Brno 07:30
2971,295,ČT 1,Zprávy - Brno 08:00
2971,295,ČT 1,Zprávy - Ostrava 6:00
2971,295,ČT 1,Zprávy - Ostrava 7:00
2971,295,ČT 1,Zprávy - Ostrava 8:00
2971,295,ČT 1,Zprávy 10:00
2971,295,ČT 1,Zprávy 14:00
2971,295,ČT 1,Zprávy 16:00
2971,295,ČT 1,Zprávy 18:00
2971,295,ČT 1,Zprávy 23:00
2971,295,ČT 1,Zprávy 6:00
2971,295,ČT 1,Zprávy 6:15
2971,295,ČT 1,Zprávy 6:30
2971,295,ČT 1,Zprávy 6:45
2971,295,ČT 1,Zprávy 7:15
2971,295,ČT 1,Zprávy 7:30
2971,295,ČT 1,Zprávy 7:45
2971,295,ČT 1,Zprávy 8:00
2971,295,ČT 1,Zprávy 8:15
2971,295,ČT 1,Zprávy ve 12
